spruch,explanation,category,source,rating,id
"A-Bombe, H-Bombe, N-Bombe: Was tun, wenn das Alphabet durch ist?",,"Nie wieder Krieg!","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","3","1"
"Ab heute wird nicht mehr getrunken, aber auch nicht weniger.",,"Saufen","https://www.achtziger.de/spass/spontisprueche/","3","2"
"Ab zwanzig Uhr wird zurückgesungen","(Kalle Pohl über die Eurovisions-Vorentscheidung am 19.2.2000)","Switcheroo","https://de.wikipedia.org/wiki/Sponti-Spr%C3%BCche",,"3"
"Abends einen trinken, morgens für die Arbeit schminken.",,"Saufen,Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"4"
"Abgeordnete sind immer zu tausend Spesen aufgelegt.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"5"
"Ach wie war das schön, sagte der Ochse, als ich noch ein Boulevard.",,"Punny,Tiere","https://www.achtziger.de/spass/spontisprueche/",,"6"
"Advent, Advent, das Kraftwerk brennt, und sind die Strahlen erst mal hier, wird bald ein Engelein auch aus dir.",,"Atomkraft Nein Danke,Merry Crisis","https://www.achtziger.de/spass/spontisprueche/",,"7"
"Aftershave ersetzt kein Klopapier.",,"Hygiene","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"8"
"Alkohol ist keine Lösung, sondern ein Destillat!",,"Saufen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"9"
"Alle anfallenden Arbeiten auf andere abschieben – anschließend anscheißen, aber anständig.",,"Arbeit ist doof","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"10"
"Alle Frauen wollen einen Mann festnageln und wundern sich dann, wenn er nachher bekloppt ist.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"11"
"Alle können denken; nur bleibt es den meisten erspart.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"12"
"Alle Macht für mich!",,"Ego","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"13"
"Alle Menschen sind klug: Die einen vorher, die anderen nachher.",,"Knowledge","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"14"
"Alle Menschen werden als Original geboren, die meisten sterben als Kopie.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"15"
"Alle reden von Politik, wir reden von uns.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"16"
"Alle schimpfen sie über unseren Bundeskanzler - dabei macht er doch gar nichts.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"17"
"Alle stehen bis zum Hals im Wasser, nur nicht Rainer, der ist kleiner.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"18"
"Alle wollen zurück zur Natur, aber keiner zu Fuß.",,"Natur","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"19"
"Alle wollen zurück zur Natur, nur nicht zu Fuß.",,"Natur","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"20"
"Allen Leuten recht getan ist Sauerkraut mit Lebertran.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"21"
"Aller Mannfang ist schwer.",,"Sexismus","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"22"
"Alles Geschmackssache, dachte der Affe und biss in die Seife.",,"Tiere,Random","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf","3","23"
"Alles hat Grenzen, nur die Dummheit ist unendlich.",,"Dummheit","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"24"
"Alles ist schlechter geworden. Nur eins ist besser geworden: Die Moral ist schlechter geworden.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"25"
"Alles ist so, wie es ist, nur schlechter.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"26"
"Alles schreitet fort, nur der Fortschritt nicht.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"27"
"Alles wird besser, nichts wird gut.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"28"
"Alles wird schlechter, nur eins wird besser: die Moral wird schlechter.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"29"
"Als Gott den Mann erschuf, übte sie nur.",,"Religion","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"30"
"Also ich bin gegen das Thema. Aber ich könnte noch stundenlang darüber reden.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"31"
"Alter schützt nicht vor Torheit, aber Dummheit vor Intelligenz.",,"Dummheit","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"32"
